역코드,역명,위도,경도,품목명,수량,유효기간일,제조년월일,기준일자
2749,철산역,37.47616,126.868217,화재용 긴급대피마스크,300,2027-09-19,2022-09-19,2025-03-10
2750,광명사거리역,37.47927,126.854854,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
2750,광명사거리역,37.47927,126.854854,화재용 긴급대피마스크,100,2027-09-19,2022-09-19,2025-03-10
2751,천왕역,37.486699,126.838684,화재용 긴급대피마스크,200,2031-11-30,2026-11-30,2025-03-10
2752,온수(성공회대입구)역,37.492059,126.823294,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
2752,온수(성공회대입구)역,37.492059,126.823294,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
340,가락시장역(3호선),37.492368,127.118101,화재용 긴급대피마스크,60,2027-08-16,2022-08-16,2025-03-10
2811,암사역,37.550127,127.127521,화재용 긴급대피마스크,200,2027-07-26,2022-07-26,2025-03-10
2813,강동구청역,37.530348,127.120461,화재용 긴급대피마스크,150,2027-08-04,2022-08-04,2025-03-10
2814,몽촌토성(평화의문)역,37.517692,127.11274,화재용 긴급대피마스크,150,2027-08-04,2022-08-04,2025-03-10
2816,석촌역,37.505396,127.106995,화재용 긴급대피마스크,150,2027-08-04,2022-08-04,2025-03-10
2817,송파역,37.49978,127.11212,화재용 긴급대피마스크,150,2027-08-15,2022-08-15,2025-03-10
2818,가락시장역(8호선),37.493004,127.118279,화재용 긴급대피마스크,190,2027-08-16,2022-08-16,2025-03-10
2819,문정역,37.485931,127.122473,화재용 긴급대피마스크,150,2024-12-02,2019-12-02,2025-03-10
2820,장지역,37.478609,127.126229,화재용 긴급대피마스크,200,2027-07-26,2022-07-26,2025-03-10
2821,복정역,37.471016,127.126746,화재용 긴급대피마스크,47,2024-08-18,2019-08-18,2025-03-10
2821,복정역,37.471016,127.126746,화재용 긴급대피마스크,203,2027-07-26,2022-07-26,2025-03-10
2822,산성역,37.456886,127.149927,화재용 긴급대피마스크,250,2027-08-31,2022-08-31,2025-03-10
2823,"남한산성입구(성남법원,검찰청)역",37.451568,127.159845,화재용 긴급대피마스크,250,2027-08-15,2022-08-15,2025-03-10
2824,단대오거리역,37.445057,127.156735,화재용 긴급대피마스크,120,2024-08-16,2019-08-16,2025-03-10
2824,단대오거리역,37.445057,127.156735,화재용 긴급대피마스크,80,2027-08-05,2022-08-05,2025-03-10
2825,신흥역,37.440952,127.14759,화재용 긴급대피마스크,150,2027-07-26,2022-07-26,2025-03-10
2826,수진역,37.437575,127.140936,화재용 긴급대피마스크,150,2027-07-26,2022-07-26,2025-03-10
2827,모란역,37.433888,127.129921,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
234,신도림역,37.508815,126.891222,화재용 긴급대피마스크,250,2027-03-31,2022-03-31,2025-03-10
235,문래역,37.517993,126.894766,화재용 긴급대피마스크,205,2027-03-31,2022-03-31,2025-03-10
236,영등포구청역(2호선),37.525766,126.896627,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
238,합정역(2호선),37.550025,126.914557,화재용 긴급대피마스크,199,2027-03-31,2022-03-31,2025-03-10
239,홍대입구역,37.556748,126.923643,화재용 긴급대피마스크,250,2027-03-31,2022-03-31,2025-03-10
240,신촌역,37.555153,126.93689,화재용 긴급대피마스크,200,2027-03-01,2022-03-01,2025-03-10
241,이대역,37.556734,126.945897,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
242,아현역,37.557407,126.956079,화재용 긴급대피마스크,200,2027-02-01,2022-02-01,2025-03-10
243,충정로역(2호선),37.559742,126.964455,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
247,도림천역,37.514759,126.882586,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
248,양천구청역,37.512194,126.865193,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
249,신정네거리역,37.520218,126.852849,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
2524,영등포구청역(5호선),37.524209,126.895022,화재용 긴급대피마스크,300,2027-08-01,2022-08-01,2025-03-10
2524,영등포구청역(5호선),37.524209,126.895022,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2532,충정로역(5호선),37.560061,126.962783,화재용 긴급대피마스크,300,2027-07-28,2022-07-28,2025-03-10
2623,합정역(6호선),37.556031,126.910129,화재용 긴급대피마스크,170,2027-08-17,2022-08-17,2025-03-10
2623,합정역(6호선),37.556031,126.910129,화재용 긴급대피마스크,130,2027-09-19,2022-09-19,2025-03-10
