역코드,역명,위도,경도,품목명,수량,유효기간일,제조년월일,기준일자
413,쌍문역,37.648274,127.034381,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
414,수유역,37.637127,127.024731,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
415,미아역,37.626435,127.026151,화재용 긴급대피마스크,200,2026-09-06,2021-09-06,2025-03-10
416,미아사거리역,37.613276,127.030083,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
417,길음역,37.604087,127.025353,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
418,성신여대입구역,37.592782,127.017338,화재용 긴급대피마스크,204,2027-03-31,2022-03-31,2025-03-10
419,한성대입구역,37.58838,127.006751,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
420,혜화역,37.582116,127.001759,화재용 긴급대피마스크,194,2027-03-01,2022-03-01,2025-03-10
421,동대문역(4호선),37.5708397,127.009403,화재용 긴급대피마스크,200,2029-03-31,2024-03-31,2025-03-10
2715,노원역(7호선),37.654478,127.060555,화재용 긴급대피마스크,200,2027-08-31,2022-08-31,2025-03-10
2715,노원역(7호선),37.654478,127.060555,화재용 긴급대피마스크,100,2027-09-30,2022-09-30,2025-03-10
226,사당역(2호선),37.476536,126.981631,화재용 긴급대피마스크,250,2027-03-31,2022-03-31,2025-03-10
423,충무로역(4호선),37.561302,126.995473,화재용 긴급대피마스크,400,2027-03-31,2022-03-31,2025-03-10
424,명동역,37.561055,126.988271,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
425,회현역,37.559698,126.979565,화재용 긴급대피마스크,200,2027-03-01,2022-03-01,2025-03-10
427,숙대입구역,37.545124,126.971952,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
428,삼각지역(4호선),37.535057,126.973354,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
429,신용산역,37.52919,126.96858,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
430,이촌역,37.522525,126.97335,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
432,이수(총신대입구)역(4호선),37.487521,126.982309,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
433,사당역(4호선),37.476563,126.981746,화재용 긴급대피마스크,230,2027-03-07,2022-03-07,2025-03-10
434,남태령역,37.464339,126.989081,화재용 긴급대피마스크,200,2027-03-01,2022-03-01,2025-03-10
2629,삼각지역(6호선),37.539279,126.961348,화재용 긴급대피마스크,100,2027-08-16,2022-08-16,2025-03-10
2629,삼각지역(6호선),37.539279,126.961348,화재용 긴급대피마스크,49,2027-08-17,2022-08-17,2025-03-10
