역명,소화기_수량,화재용 긴급대피마스크_수량,면적,소화기_밀도,마스크_밀도
강동구청,32.0,150.0,5613.2,0.00570084800114017,0.026722725005344547
마천,34.0,150.0,5935.85,0.005727907544833512,0.025270180344853725
태릉입구,88.0,540.0,15318.58,0.005744657794651985,0.03525130919445536
금호,35.0,200.0,6086.0,0.005750903713440683,0.03286230693394676
청량리,41.0,199.0,7125.0,0.005754385964912281,0.02792982456140351
거여,38.0,150.0,6554.1,0.005797897499275262,0.022886437497139193
홍제,57.0,200.0,9825.0,0.005801526717557252,0.020356234096692113
둔촌동,31.0,200.0,5342.39,0.005802646381114071,0.037436428265252064
무악재,39.0,200.0,6658.81,0.005856902359430588,0.03003539671502866
우장산,33.0,200.0,5624.7,0.0058669795722438535,0.03555745195299305
고덕,37.0,150.0,6288.05,0.005884177129634783,0.02385477214716804
회현,71.0,200.0,12024.8,0.005904464107511144,0.01663229326059477
도봉산,42.0,,6971.04,0.006024925979480823,
동묘앞,85.0,450.0,14000.64,0.00607115103309563,0.03214138782227098
왕십리,98.0,500.0,16106.43,0.00608452649035199,0.031043502501795866
숙대입구,43.0,200.0,7027.0,0.006119254304824249,0.028461647929415114
신림,44.0,200.0,7190.0,0.00611961057023644,0.027816411682892908
암사,30.0,200.0,4887.4,0.006138233007324958,0.04092155338216639
성신여대입구,48.0,204.0,7816.0,0.006141248720573183,0.026100307062436028
대치,50.0,200.0,8138.28,0.006143804341949405,0.02457521736779762
굽은다리,30.0,200.0,4838.6,0.0062001405365188274,0.04133427024345885
남태령,38.0,200.0,6086.0,0.006243838317449885,0.03286230693394676
동대입구,56.0,200.0,8945.76,0.006259948847275133,0.022356960168839764
동작,66.0,,10536.16,0.006264141774612383,
상왕십리,44.0,200.0,7023.0,0.0062651288623095545,0.02847785846504343
창동,51.0,,8133.94,0.006270024121151619,
명일,32.0,144.0,5090.3,0.00628646641651769,0.028289098874329607
충무로,82.0,400.0,12930.34,0.006341673923500851,0.030934994748784642
고속터미널,110.0,600.0,17268.9,0.006369832473405949,0.034744540764032446
노원,86.0,300.0,13446.11,0.006395901863066716,0.02231128556883738
수서,58.0,200.0,9025.0,0.006426592797783934,0.0221606648199446
도림천,29.0,200.0,4496.94,0.006448829648605497,0.044474687231762046
경찰병원,64.0,200.0,9801.13,0.00652985931214054,0.020405810350439185
삼각지,95.0,447.0,14457.44,0.0065710111887028405,0.030918336856317577
길동,33.0,199.0,5006.33,0.006591654964814545,0.039749676909033166
종합운동장,122.0,200.0,18506.0,0.006592456500594402,0.010807305738679347
옥수,76.0,,11517.51,0.006598648492599528,
수유,47.0,200.0,6994.0,0.006720045753503002,0.028595939376608523
하남검단산,84.0,150.0,12461.4,0.006740815638692282,0.012037170783379075
구로디지털단지,39.0,,5754.0,0.006777893639207508,
강일,69.0,150.0,10179.19,0.006778535423741967,0.014735946573352103
혜화,41.0,194.0,6039.0,0.006789203510514986,0.032124523927802615
삼성,44.0,250.0,6447.0,0.0068248797890491705,0.03877772607414301
연신내,58.0,500.0,8420.54,0.006887919302087514,0.059378614673168226
방이,40.0,150.0,5789.43,0.006909143041715678,0.025909286406433793
군자,55.0,600.0,7953.45,0.006915238041353124,0.07543896045112498
문정,36.0,150.0,5193.95,0.006931141039093561,0.028879754329556504
길음,47.0,200.0,6765.0,0.006947524020694752,0.029563932002956393
독립문,37.0,200.0,5294.27,0.006988687769985285,0.03777669064856911
선릉,52.0,250.0,7396.0,0.007030827474310438,0.03380205516495403
당산,45.0,,6385.0,0.007047768206734534,
서초,61.0,200.0,8655.0,0.007047949162333911,0.023108030040439053
중곡,42.0,200.0,5923.51,0.007090390663643684,0.033763765064969926
쌍문,53.0,200.0,7466.0,0.007098848111438521,0.02678810608090008
잠원,42.0,200.0,5875.0,0.007148936170212766,0.03404255319148936
아현,47.0,200.0,6467.0,0.007267666615122932,0.030926240915416733
신사,53.0,200.0,7159.0,0.007403268612934767,0.027936862690319877
오금,102.0,300.0,13739.45,0.007423877957269031,0.02183493516843833
신용산,48.0,200.0,6439.0,0.007454573691567014,0.031060723714862556
월곡,49.0,250.0,6545.91,0.007485590238790329,0.038191786932603715
명동,59.0,200.0,7820.4,0.007544371131911412,0.025574139430208174
을지로4가,87.0,400.0,11492.73,0.0075700029496908045,0.034804611262946226
신촌,58.0,200.0,7620.0,0.007611548556430446,0.026246719160104987
상계,51.0,,6650.15,0.007668999947369608,
양재,54.0,200.0,6996.0,0.007718696397941681,0.02858776443682104
공덕,88.0,550.0,11380.14,0.0077327695441356615,0.048329809650847884
이대,58.0,200.0,7436.0,0.007799892415277031,0.02689618074233459
합정,102.0,499.0,13008.0,0.007841328413284132,0.0383610086100861
공덕,88.0,550.0,11098.9,0.007928713656308282,0.04955446035192677
미아,51.0,200.0,6367.0,0.008010051829747135,0.03141196795979268
태릉입구,88.0,540.0,10931.7,0.008049983076740123,0.04939762342545075
구의,45.0,,5584.0,0.008058739255014326,
신대방,47.0,,5821.0,0.008074214052568288,
건대입구,90.0,350.0,11067.54,0.008131888387121257,0.03162401039436044
강남,52.0,250.0,6392.0,0.008135168961201502,0.03911138923654568
서울,88.0,450.0,10805.0,0.008144377602961592,0.041647385469689956
양천구청,42.0,200.0,5103.0,0.00823045267489712,0.03919263178522438
청구,49.0,500.0,5928.44,0.00826524347045766,0.08433921908630264
홍대입구,64.0,250.0,7721.0,0.008289081725165135,0.03237922548892631
연신내,58.0,500.0,6906.0,0.008398494063133507,0.07240081088908196
서울대입구,54.0,200.0,6429.0,0.008399440037330844,0.031109037175299423
청구,49.0,500.0,5805.9,0.008439690659501542,0.08611929244389328
구파발,46.0,200.0,5442.0,0.008452774715178243,0.036751194413818446
고속터미널,110.0,600.0,12910.95,0.008519899774997192,0.04647218059089377
문래,53.0,205.0,6213.0,0.008530500563334943,0.03299533236761629
교대,85.0,400.0,9927.91,0.008561721449932565,0.040290453882035594
동묘앞,85.0,450.0,9894.75,0.008590414108491876,0.04547866292730994
장암,13.0,,1503.05,0.008649080203586042,
잠실나루,41.0,,4691.0,0.008740140694947772,
역삼,75.0,200.0,8352.89,0.008978928251180131,0.023943808669813684
합정,102.0,499.0,11229.45,0.009083258752654848,0.0444367266428899
충정로,104.0,500.0,11414.73,0.009111034601782083,0.04380305097010617
교대,85.0,400.0,9312.0,0.009128006872852234,0.0429553264604811
동대문역사문화공원,135.0,892.0,14688.77,0.009190694659934086,0.06072666397526818
서울,88.0,450.0,9564.0,0.009201171058134672,0.04705144291091593
잠실,145.0,600.0,15695.34,0.009238410891385596,0.038227907136767984
대림,87.0,350.0,9357.53,0.00929732525570316,0.037403032637886274
봉천,49.0,200.0,5234.0,0.009361864730607567,0.03821169277799007
불광,76.0,400.0,8109.54,0.009371678294946445,0.04932462260498129
낙성대,61.0,200.0,6502.0,0.00938172869886189,0.030759766225776683
강변,48.0,,5077.0,0.009454402206027182,
잠실새내,72.0,200.0,7573.0,0.009507460715700515,0.026409613099168096
약수,88.0,450.0,9093.30455,0.009677449987089677,0.04948696016125403
종로3가,144.0,800.0,14829.894,0.009710116606362796,0.05394509225757109
사당,127.0,480.0,13006.0,0.009764723973550668,0.03690604336460095
왕십리,98.0,500.0,9877.0,0.009922041105598866,0.05062265870203503
천호,51.0,550.0,5137.5,0.009927007299270074,0.1070559610705596
가락시장,77.0,250.0,7728.13,0.009963600508790613,0.032349352301268224
한양대,61.0,,5974.0,0.01021091396049548,
시청,130.0,450.0,12561.0,0.010349494467001036,0.03582517315500358
삼각지,95.0,447.0,9164.0,0.010366652116979486,0.04877782627673505
남위례,45.0,,4177.54,0.010771889676699684,
신답,24.0,,2203.0,0.010894235133908307,
불광,76.0,400.0,6956.0,0.010925819436457734,0.05750431282346176
방배,66.0,199.0,5951.0,0.011090573012939002,0.03343975802386154
신내,12.0,,1069.48,0.011220406178703669,
을지로3가,114.0,400.0,9958.0,0.011448081944165495,0.04016870857601928
시청,130.0,450.0,11317.0,0.011487143235839888,0.03976318812406115
영등포구청,89.0,550.0,7737.0,0.011503166602042135,0.07108698461936151
약수,88.0,450.0,7460.48,0.01179548768980012,0.06031783477738698
총신대입구,104.0,,8719.0,0.011927973391443972,
사당,127.0,480.0,10637.0,0.011939456613706873,0.04512550531164802
지축,19.0,,1583.0,0.012002526847757423,
동대문,100.0,400.0,8218.3,0.01216796661109962,0.04867186644439848
노원,86.0,300.0,6639.0,0.01295375809609881,0.04518752824220515
을지로4가,87.0,400.0,6622.0,0.013138024765931743,0.06040471156750227
오금,102.0,300.0,7667.04,0.013303699993739435,0.03912852939335128
대림,87.0,350.0,6478.0,0.013430071009570855,0.05402902130287126
충정로,104.0,500.0,7563.95,0.01374942986138195,0.06610302817972091
건대입구,90.0,350.0,6543.0,0.013755158184319119,0.05349228182790769
을지로3가,114.0,400.0,8181.0,0.013934726806013934,0.04889377826671556
잠실,145.0,600.0,10332.0,0.014034068912117692,0.05807200929152149
신설동,106.0,395.0,7240.0,0.014640883977900553,0.054558011049723756
동대문역사문화공원,135.0,892.0,9136.69,0.01477559159827027,0.09762835337523763
종로3가,144.0,800.0,9311.0,0.015465578348190312,0.0859198797121684
종로3가,144.0,800.0,9188.01,0.015672599398563997,0.08706999665868888
신당,97.0,500.0,5762.0,0.016834432488719193,0.08677542519958348
동대문,100.0,400.0,5490.0,0.018214936247723135,0.07285974499089254
동대문역사문화공원,135.0,892.0,6540.0,0.020642201834862386,0.1363914373088685
충무로,82.0,400.0,3860.0,0.021243523316062177,0.10362694300518134
신설동,106.0,395.0,4952.4,0.021403763831677573,0.07975930861804378
당고개,38.0,,,,
방화,,150.0,7402.74,,0.020262767569845762
개화산,,150.0,7846.8,,0.0191160727940052
이수,,550.0,18812.65,,0.02923564729051994
