역명,역별_하루_평균유동인구
충정로(경기대입구),11675.327859879584
태릉입구,11768.317733990149
하계,26990.511220580185
하남검단산,10282.938316400581
하남시청(덕풍·신장),11838.66328011611
하남풍산,6996.597772277228
학동,37371.424740010945
학여울,3847.954570333881
한강진,16856.077175697865
한성대입구(삼선교),22370.43185550082
한양대,16707.31636562671
합정,39575.67515051998
행당,11921.013683634374
혜화,59182.51669403393
홍대입구,114273.60810071154
홍제,27513.486590038316
화곡,42563.513409961684
화랑대(서울여대입구),15487.620689655172
회현(남대문시장),42624.835249042146
효창공원앞,11113.273672687466
