"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20241201","5호선","화곡","16290","15440","20241204",""
"20241201","5호선","까치산","16933","16451","20241204",""
"20241201","5호선","신정(은행정)","7124","6349","20241204",""
"20241201","5호선","목동","9182","9344","20241204",""
"20241201","5호선","오목교(목동운동장앞)","16851","16942","20241204",""
"20241201","5호선","양평","3459","3548","20241204",""
"20241201","5호선","영등포구청","2180","2161","20241204",""
"20241201","5호선","영등포시장","7809","8122","20241204",""
"20241201","5호선","신길","3013","3111","20241204",""
"20241201","5호선","여의도","11401","11401","20241204",""
"20241201","5호선","여의나루","9952","12740","20241204",""
"20241201","5호선","마포","6507","6525","20241204",""
"20241201","5호선","공덕","5968","5942","20241204",""
"20241201","5호선","애오개","3158","3175","20241204",""
"20241201","5호선","충정로(경기대입구)","1745","1759","20241204",""
"20241201","5호선","서대문","5909","6159","20241204",""
"20241201","5호선","광화문(세종문화회관)","14702","15209","20241204",""
"20241201","5호선","종로3가","10811","9960","20241204",""
"20241201","5호선","을지로4가","2248","2223","20241204",""
"20241201","5호선","동대문역사문화공원(DDP)","1245","1467","20241204",""
"20241201","5호선","청구","2059","2000","20241204",""
"20241201","5호선","신금호","3469","3754","20241204",""
"20241201","5호선","행당","4290","4023","20241204",""
"20241201","5호선","왕십리(성동구청)","3042","3721","20241204",""
"20241201","5호선","마장","3181","2982","20241204",""
"20241201","5호선","답십리","8912","8240","20241204",""
"20241201","5호선","장한평","10299","10166","20241204",""
"20241201","5호선","군자(능동)","7581","8206","20241204",""
"20241201","5호선","아차산(어린이대공원후문)","10847","10532","20241204",""
"20241201","5호선","광나루(장신대)","8222","8036","20241204",""
"20241201","5호선","천호(풍납토성)","14958","14026","20241204",""
"20241201","5호선","강동","10832","10768","20241204",""
"20241201","5호선","길동","5165","5174","20241204",""
"20241201","5호선","굽은다리(강동구민회관앞)","6860","6413","20241204",""
"20241201","5호선","명일","5529","5563","20241204",""
"20241201","5호선","고덕","5176","5187","20241204",""
"20241201","5호선","상일동","7277","7381","20241204",""
"20241201","5호선","둔촌동","6146","6126","20241204",""
"20241201","5호선","올림픽공원(한국체대)","4899","4030","20241204",""
"20241201","5호선","방이","4872","4612","20241204",""
"20241201","5호선","오금","2020","1940","20241204",""
"20241201","5호선","개롱","3697","4075","20241204",""
"20241201","5호선","거여","5318","5198","20241204",""
"20241201","5호선","마천","4156","4128","20241204",""
"20241201","5호선","강일","3615","3331","20241204",""
"20241201","5호선","미사","10849","10916","20241204",""
"20241201","5호선","하남풍산","3079","3003","20241204",""
"20241201","5호선","하남시청(덕풍·신장)","5267","4956","20241204",""
"20241201","5호선","하남검단산","5411","5372","20241204",""
"20241201","6호선","응암","10654","10684","20241204",""
"20241201","6호선","역촌","2295","2591","20241204",""
"20241201","6호선","불광","3501","3123","20241204",""
"20241201","6호선","독바위","1671","1928","20241204",""
"20241201","6호선","연신내","6","0","20241204",""
"20241201","6호선","구산","4850","3711","20241204",""
"20241201","6호선","새절(신사)","7229","7083","20241204",""
"20241201","6호선","증산(명지대앞)","6155","6158","20241204",""
"20241201","6호선","디지털미디어시티","6701","7198","20241204",""
"20241201","6호선","월드컵경기장(성산)","4635","4583","20241204",""
"20241201","6호선","마포구청","8143","7477","20241204",""
"20241201","6호선","망원","11625","12215","20241204",""
"20241201","6호선","합정","10981","10069","20241204",""
"20241201","6호선","상수","8218","8569","20241204",""
"20241201","6호선","광흥창(서강)","5112","5002","20241204",""
"20241201","6호선","대흥(서강대앞)","4642","4862","20241204",""
"20241201","6호선","공덕","8797","8469","20241204",""
"20241201","6호선","효창공원앞","4389","3814","20241204",""
"20241201","6호선","삼각지","5769","4870","20241204",""
"20241201","6호선","녹사평(용산구청)","4032","4074","20241204",""
"20241201","6호선","이태원","11673","9471","20241204",""
"20241201","6호선","한강진","10208","11248","20241204",""
"20241201","6호선","버티고개","1311","1343","20241204",""
"20241201","6호선","약수","2173","2251","20241204",""
"20241201","6호선","청구","2019","1882","20241204",""
"20241201","6호선","신당","5840","6412","20241204",""
